anyy;mes;dia;obser;ventkh;component;plujamm;tmax;tmin;tmitjana
1954;5;15;"STACOL";126;"N";7;-6.13;-6.51;0.19
1963;5;7;"BCN";93;"SO";4;33.75;4.73;14.51
2016;3;20;"TIBIDABO";150;"O";10;43.64;11.98;15.83
1955;12;9;"LLEIDA";186;"SO";4;9.63;0.26;4.69
1975;12;12;"MASNOU";89;"E";8;44.73;15.48;14.62
2013;11;20;"BERGA";77;"S";4;13.74;-2.33;8.04
1999;3;19;"VIC";187;"N";4;25.69;19.38;3.16
1959;2;25;"TIBIDABO";82;"NE";8;23.89;-9.55;16.72
2011;5;18;"TARRACO";95;"SO";4;39.13;17.85;10.64
2017;7;10;"LLEIDA";66;"O";8;37.42;-5.97;21.7
1981;4;14;"STACOL";36;"N";7;14.47;2.16;6.16
1979;5;6;"TIBIDABO";94;"S";4;38.53;-0.7;19.62
1975;10;27;"TARRACO";77;"E";9;12.88;-2.35;7.62
1960;9;18;"TARRACO";194;"S";3;26.2;-7.95;17.07
1958;5;22;"HOSPI";174;"S";7;12.82;9.23;1.79
1996;11;17;"GIRONA";200;"SO";9;18.53;-0.4;9.46
1999;5;16;"LLEIDA";78;"N";2;23.37;18.96;2.21
1980;9;22;"TARRACO";175;"SO";5;40.35;4.01;18.17
1955;11;28;"STACOL";15;"NO";0;40.46;12.74;13.86
1965;1;27;"GIRONA";94;"E";1;20.45;19.37;0.54
1959;7;28;"GIRONA";192;"S";7;24.79;9.12;7.83
1998;5;3;"GIRONA";100;"S";3;22.85;0.8;11.03
2001;6;13;"GIRONA";90;"N";4;35.07;2.06;16.5
2006;11;12;"BERGA";29;"NO";7;40.61;-9.26;24.93
1979;7;2;"LLEIDA";8;"SE";6;28.75;8.23;10.26
1988;9;24;"BERGA";160;"E";10;39.2;-5.53;22.37
2008;1;30;"BCN";33;"SE";7;24.28;17.63;3.33
1956;11;9;"VIC";119;"NO";1;18.9;9.19;4.85
2014;5;11;"LLEIDA";169;"E";10;9.26;4.33;2.46
1987;8;15;"STACOL";45;"O";3;43.6;2.93;20.34
1996;8;6;"VIC";80;"SO";5;38.01;17.38;10.31
1962;9;27;"HOSPI";11;"SO";1;25.95;6.44;9.75
1962;11;2;"GIRONA";187;"E";2;26.67;14.34;6.17
2016;6;2;"HOSPI";32;"E";10;41.94;-5.1;23.52
1956;5;17;"BCN";106;"SE";6;5.43;-1.22;3.32
1977;2;28;"BERGA";5;"E";5;21.95;11.48;5.23
2017;10;25;"HOSPI";5;"N";3;21.67;15.24;3.22
1977;7;20;"VIC";93;"O";6;13.5;-3.52;8.51
1984;6;18;"STACOL";19;"N";5;23.35;9.46;6.95
1953;3;4;"BCN";82;"SE";5;40.44;-3.55;21.99
2006;2;16;"BERGA";137;"O";4;16.15;8.79;3.68
1962;4;12;"VIC";39;"NE";9;34.5;14.96;9.77
1960;9;21;"BERGA";142;"SO";9;1.74;0.13;0.8
1957;4;5;"BCN";123;"S";1;19.32;8.24;5.54
1979;9;26;"VIC";58;"N";1;19.94;1.56;9.19
1954;9;11;"TIBIDABO";176;"NO";7;35.7;5.49;15.11
1959;2;30;"HOSPI";183;"SO";7;39.77;-2.11;20.94
1995;1;22;"TARRACO";152;"E";2;16.69;0.6;8.04
2010;3;8;"VIC";105;"NE";0;20.52;3.54;8.49
2002;9;30;"TARRACO";186;"O";9;22.56;-2.26;12.41
1956;5;22;"GIRONA";70;"SE";6;33.58;14.7;9.44
1989;11;25;"VIC";118;"SO";0;2.95;-1.94;2.45
2013;6;11;"TIBIDABO";101;"N";4;26.11;15.07;5.52
1986;1;29;"HOSPI";70;"SO";6;20.58;8.0;6.29
2015;3;16;"MASNOU";191;"NE";7;-7.16;-7.62;0.23
1979;12;17;"HOSPI";184;"SE";5;38.29;9.58;14.36
1996;2;19;"MASNOU";79;"SE";10;23.64;7.6;8.02
1974;7;18;"BERGA";68;"O";4;37.03;-9.02;23.02
1983;2;29;"GIRONA";125;"S";4;2.15;-3.55;2.85
1962;6;28;"BCN";16;"NE";8;34.96;-8.71;21.84
1962;4;30;"MASNOU";111;"S";2;16.6;3.67;6.47
2011;8;28;"TARRACO";174;"SO";0;43.52;-0.63;22.08
1954;10;17;"LLEIDA";99;"SE";9;25.35;-3.16;14.26
1997;1;23;"BERGA";54;"E";1;28.51;-0.04;14.28
1989;10;28;"TIBIDABO";155;"N";7;18.21;17.63;0.29
1962;12;18;"VIC";113;"SE";8;27.04;12.77;7.13
1993;7;26;"LLEIDA";6;"NO";5;21.21;-6.95;14.08
1964;9;11;"BCN";148;"S";4;14.35;4.8;4.78
1975;1;10;"BERGA";163;"SO";9;24.01;17.11;3.45
1954;8;14;"BCN";16;"NE";6;44.9;-0.65;22.77
1999;10;2;"TARRACO";160;"S";5;18.98;-9.79;14.38
1966;11;27;"VIC";50;"SO";3;-5.33;-9.15;1.91
1983;3;30;"BCN";29;"O";1;10.11;-6.26;8.18
1977;4;1;"GIRONA";194;"SE";4;6.95;-7.47;7.21
1980;4;8;"TIBIDABO";97;"NO";8;7.35;-7.04;7.2
1980;7;9;"BERGA";161;"S";1;25.81;12.03;6.89
1988;11;8;"TIBIDABO";124;"NE";8;13.55;6.09;3.73
1974;12;6;"LLEIDA";82;"SE";7;19.81;-7.17;13.49
1986;10;20;"MASNOU";165;"SE";9;27.53;19.37;4.08
1999;4;16;"LLEIDA";52;"SO";10;9.29;2.76;3.26
1965;3;30;"BERGA";180;"SO";5;8.41;3.44;2.49
1998;5;18;"LLEIDA";123;"SO";7;14.19;12.62;0.79
1998;4;14;"VIC";82;"N";3;37.41;0.34;18.53
1999;1;29;"GIRONA";110;"NE";1;23.86;-7.93;15.89
1968;11;3;"LLEIDA";191;"O";2;27.64;13.02;7.31
2018;11;14;"TARRACO";28;"O";6;16.87;6.14;5.37
2016;1;15;"VIC";28;"SE";5;38.97;14.89;12.04
1974;2;10;"GIRONA";84;"E";1;12.92;10.82;1.05
2009;3;1;"LLEIDA";197;"NE";8;17.04;-5.13;11.08
1979;5;28;"LLEIDA";108;"NE";1;44.68;2.55;21.07
1977;2;24;"TIBIDABO";1;"SO";4;35.08;18.38;8.35
1976;1;14;"BERGA";27;"N";4;28.09;16.47;5.81
1958;4;16;"STACOL";166;"NO";4;19.13;-1.44;10.29
1957;5;19;"GIRONA";102;"NO";5;39.01;-5.2;22.11
1966;8;28;"LLEIDA";160;"E";10;17.91;16.89;0.51
1959;4;28;"LLEIDA";29;"N";2;13.62;3.57;5.02
2007;4;13;"BCN";100;"SO";9;38.06;19.74;9.16
2013;10;11;"TARRACO";33;"N";9;6.61;4.21;1.2
2015;6;14;"MASNOU";190;"O";5;14.45;11.25;1.6
1994;7;13;"LLEIDA";35;"SE";7;4.93;3.82;0.55
1998;9;27;"TIBIDABO";47;"SO";1;19.31;-7.3;13.3
1985;2;12;"VIC";193;"N";5;6.88;1.17;2.85
1985;11;29;"TIBIDABO";79;"O";10;44.78;5.77;19.51
2002;10;26;"BCN";194;"S";2;31.09;-8.1;19.59
1976;4;9;"TIBIDABO";80;"SE";6;39.25;-1.73;20.49
1959;9;30;"LLEIDA";184;"NE";4;-0.67;-7.31;3.32
1971;8;8;"LLEIDA";53;"E";3;30.09;19.16;5.46
1992;4;7;"LLEIDA";91;"N";3;26.99;16.9;5.04
1975;2;19;"TARRACO";178;"S";4;-0.0;-2.97;1.49
1962;1;5;"TARRACO";72;"NE";0;32.96;12.76;10.1
1963;10;21;"LLEIDA";182;"SE";5;5.17;-8.44;6.8
1969;1;25;"HOSPI";175;"NE";3;26.27;10.92;7.67
1999;8;16;"BCN";179;"O";3;14.03;3.58;5.22
1976;10;22;"BERGA";171;"NE";8;42.92;17.43;12.75
2003;5;1;"STACOL";184;"S";10;9.01;3.38;2.81
2016;8;30;"GIRONA";118;"SE";2;24.7;-1.27;12.98
2013;6;8;"LLEIDA";70;"NE";6;39.14;-1.36;20.25
1956;1;3;"HOSPI";185;"N";5;32.05;1.82;15.11
1956;5;1;"TARRACO";51;"N";9;30.01;-5.39;17.7
1990;3;9;"LLEIDA";27;"SE";7;5.39;-7.98;6.69
1982;7;10;"TIBIDABO";189;"NE";5;18.2;7.25;5.47
2013;4;6;"GIRONA";139;"O";4;27.82;17.69;5.06
1998;5;4;"VIC";171;"SE";9;25.08;18.7;3.19
1974;12;11;"BERGA";82;"SO";8;36.41;14.61;10.9
1971;9;2;"MASNOU";142;"N";7;43.08;-7.61;25.34
2011;2;24;"HOSPI";110;"E";10;44.09;7.69;18.2
1964;6;17;"TARRACO";169;"N";8;29.21;2.1;13.55
1968;5;29;"LLEIDA";181;"S";7;24.8;11.3;6.75
1954;11;18;"LLEIDA";162;"N";4;24.13;12.36;5.88
1979;1;23;"TARRACO";105;"NE";2;38.25;14.4;11.93
1998;5;27;"TARRACO";8;"E";8;7.66;-9.86;8.76
1970;3;12;"TIBIDABO";148;"O";8;32.8;13.16;9.82
1990;8;22;"GIRONA";66;"SE";3;15.73;10.75;2.49
1987;11;22;"HOSPI";6;"O";10;6.57;-2.54;4.55
1965;3;3;"TIBIDABO";75;"S";10;20.95;11.92;4.51
1978;11;10;"GIRONA";74;"N";4;16.58;3.46;6.56
1996;10;5;"TIBIDABO";143;"SO";0;37.01;14.3;11.35
1950;2;9;"LLEIDA";12;"SE";0;17.62;13.07;2.28
1961;3;1;"BERGA";92;"N";7;27.49;-2.76;15.12
1961;10;1;"BCN";72;"O";8;20.59;-4.41;12.5
1969;7;17;"MASNOU";16;"N";4;36.37;17.8;9.28
1951;10;23;"GIRONA";37;"SO";10;24.29;2.33;10.98
1979;8;25;"BCN";126;"S";7;26.91;-2.98;14.95
1991;6;24;"MASNOU";15;"SO";3;10.28;1.38;4.45
1999;4;28;"BCN";38;"SO";10;38.66;11.96;13.35
1950;3;19;"LLEIDA";34;"SE";1;40.92;19.63;10.65
1973;10;5;"TARRACO";22;"SO";10;24.6;4.47;10.07
1959;10;4;"BCN";129;"S";2;24.95;4.56;10.2
1994;9;20;"TARRACO";87;"N";10;34.91;13.67;10.62
2017;5;5;"LLEIDA";176;"O";0;23.71;-8.06;15.89
1975;12;27;"VIC";95;"NO";10;28.57;-0.84;14.71
1952;10;12;"TIBIDABO";38;"O";3;35.24;3.68;15.78
2001;1;21;"STACOL";177;"NO";10;16.92;-6.09;11.51
1984;5;4;"HOSPI";190;"O";9;-2.97;-4.18;0.6
1960;4;16;"GIRONA";109;"S";9;4.15;-3.34;3.75
1955;5;27;"MASNOU";194;"E";8;40.84;16.87;11.99
1973;4;2;"TARRACO";189;"NE";1;40.6;17.58;11.51
1954;5;17;"STACOL";150;"E";2;32.46;15.94;8.26
1959;2;12;"BERGA";66;"SO";3;42.52;13.09;14.72
1962;10;18;"LLEIDA";165;"S";5;30.43;-4.18;17.3
1967;5;28;"MASNOU";189;"NO";10;12.16;7.74;2.21
1963;8;18;"TIBIDABO";50;"O";1;41.77;19.72;11.03
1979;5;24;"VIC";154;"NE";1;7.16;3.15;2.0
1972;12;18;"LLEIDA";131;"SE";2;9.97;7.68;1.15
2017;4;15;"TIBIDABO";98;"S";2;8.97;-6.2;7.59
1970;12;21;"TIBIDABO";39;"N";10;39.39;15.44;11.98
2010;1;1;"BERGA";27;"NE";7;18.56;-7.0;12.78
1962;3;16;"BCN";109;"SE";4;31.45;11.05;10.2
1954;2;2;"GIRONA";176;"SE";6;21.96;-8.07;15.02
1988;11;6;"MASNOU";191;"O";6;44.65;3.03;20.81
1952;6;12;"BERGA";18;"E";6;3.73;1.8;0.96
2004;3;15;"TARRACO";69;"NO";4;25.41;1.07;12.17
1976;9;9;"TARRACO";46;"NO";10;39.85;0.42;19.71
1955;10;13;"STACOL";160;"NO";9;42.59;14.55;14.02
1955;4;7;"LLEIDA";181;"E";6;30.47;8.46;11.0
1994;6;3;"TARRACO";71;"O";7;22.77;8.56;7.1
1966;11;12;"MASNOU";73;"N";3;40.74;13.35;13.7
1960;2;17;"LLEIDA";12;"S";10;17.82;16.56;0.63
2009;3;10;"GIRONA";117;"E";7;31.71;13.85;8.93
2008;8;23;"LLEIDA";17;"N";5;30.34;13.25;8.54
1982;8;11;"BERGA";65;"SE";10;26.51;7.69;9.41
1984;8;20;"BERGA";146;"N";8;18.65;6.15;6.25
1961;11;30;"BCN";11;"SE";5;18.11;-0.94;9.53
1957;6;4;"GIRONA";173;"O";5;25.94;4.37;10.79
1955;7;14;"TIBIDABO";176;"SO";6;26.01;0.52;12.75
2006;2;16;"MASNOU";145;"S";1;12.87;6.24;3.31
1958;3;27;"LLEIDA";18;"E";2;43.79;-6.41;25.1
1952;2;7;"HOSPI";148;"N";6;17.74;11.57;3.08
2018;4;11;"BCN";132;"E";10;20.3;-5.14;12.72
1990;3;14;"MASNOU";115;"N";3;20.01;-3.34;11.68
1975;6;4;"MASNOU";38;"N";5;29.77;18.69;5.54
1952;10;2;"STACOL";171;"O";9;33.86;19.07;7.39
2009;10;9;"HOSPI";152;"O";8;14.04;-1.0;7.52
2018;7;17;"TIBIDABO";97;"SO";4;41.72;18.27;11.72
1984;1;14;"MASNOU";31;"NO";9;39.83;6.99;16.42
1983;12;4;"BERGA";59;"N";8;34.78;-2.29;18.54
1972;1;27;"BERGA";135;"SE";1;25.79;8.7;8.54
1970;11;15;"GIRONA";47;"O";2;24.02;4.24;9.89
1981;4;16;"MASNOU";149;"S";4;27.09;13.42;6.83
2011;12;5;"BERGA";12;"O";8;32.6;19.44;6.58
2011;4;25;"HOSPI";17;"S";1;36.67;13.88;11.39
1974;7;3;"BCN";55;"SO";0;15.58;-7.51;11.54
1989;1;21;"TARRACO";36;"N";1;25.31;12.54;6.38
2000;7;2;"STACOL";188;"S";1;16.01;0.94;7.54
2004;10;12;"BERGA";175;"O";1;40.89;16.44;12.22
1975;9;20;"TARRACO";139;"NE";10;44.42;4.87;19.78
1988;10;30;"BERGA";43;"SO";6;37.18;-2.51;19.84
1988;5;30;"GIRONA";162;"SE";8;30.58;7.14;11.72
1962;11;16;"BCN";26;"SO";8;25.73;19.04;3.35
1966;5;24;"LLEIDA";188;"S";7;12.75;-5.17;8.96
1974;3;2;"TARRACO";19;"E";3;26.44;17.22;4.61
1986;7;23;"STACOL";45;"SO";8;39.58;15.82;11.88
1979;12;26;"VIC";80;"S";5;39.41;12.77;13.32
1970;5;23;"BCN";13;"NE";4;-2.42;-4.03;0.81
1988;9;19;"MASNOU";146;"NE";7;35.54;-1.33;18.43
1961;12;24;"BCN";127;"SO";6;27.88;1.69;13.09
1961;1;29;"TIBIDABO";83;"SO";3;26.71;8.69;9.01
1988;5;17;"STACOL";111;"N";6;26.68;-4.71;15.7
1960;1;23;"MASNOU";52;"NE";1;42.0;5.12;18.44
1950;9;9;"HOSPI";24;"S";1;19.17;1.18;9.0
2009;2;27;"BCN";67;"NE";10;31.18;9.91;10.63
1991;8;22;"BERGA";83;"SE";1;5.54;-8.8;7.17
1965;5;24;"HOSPI";187;"O";3;33.52;-8.37;20.95
1982;11;6;"TIBIDABO";53;"N";2;34.4;5.11;14.64
1957;10;13;"TARRACO";136;"S";5;16.23;10.03;3.1
1972;4;15;"MASNOU";104;"N";6;24.4;4.47;9.96
2014;11;25;"BCN";20;"SE";5;26.49;17.92;4.28
2014;5;30;"GIRONA";133;"N";10;25.71;-2.71;14.21
2018;8;18;"TIBIDABO";111;"NO";8;15.26;11.85;1.71
1987;5;1;"MASNOU";145;"NO";9;6.18;1.07;2.55
1995;7;21;"MASNOU";21;"E";9;11.0;3.58;3.71
1961;5;21;"BERGA";72;"N";9;26.22;8.71;8.75
1951;11;5;"VIC";7;"SE";7;21.14;1.89;9.62
1997;8;9;"GIRONA";179;"NO";8;18.31;-3.6;10.96
1970;2;18;"HOSPI";195;"E";7;20.08;4.61;7.73
2011;11;6;"BERGA";190;"SO";2;6.76;0.94;2.91
1964;3;11;"VIC";141;"NE";3;17.79;12.9;2.44
1972;2;9;"LLEIDA";105;"O";10;21.0;-4.21;12.61
1970;10;6;"MASNOU";167;"NE";9;18.75;4.48;7.13
2012;3;27;"BCN";117;"NE";2;15.07;4.24;5.42
1989;12;25;"GIRONA";178;"SO";9;17.25;10.41;3.42
2002;2;14;"HOSPI";137;"NE";8;24.91;2.43;11.24
1990;5;25;"BERGA";56;"NE";3;9.09;-4.95;7.02
2018;12;2;"HOSPI";119;"NE";9;43.25;19.62;11.81
1964;1;22;"STACOL";124;"E";10;10.71;4.01;3.35
1966;5;17;"GIRONA";58;"SE";9;7.57;4.47;1.55
2010;7;26;"TIBIDABO";118;"NE";4;11.91;-8.46;10.19
1957;4;1;"MASNOU";60;"NO";5;15.39;-6.36;10.88
2001;4;22;"MASNOU";31;"SO";5;39.23;-3.69;21.46
1965;8;18;"MASNOU";183;"S";5;29.54;19.26;5.14
1950;8;19;"LLEIDA";77;"N";6;44.68;17.98;13.35
1988;4;12;"VIC";68;"NE";4;30.67;18.97;5.85
1967;9;28;"MASNOU";16;"NE";3;21.45;9.46;5.99
1995;3;13;"MASNOU";151;"NO";5;18.37;8.16;5.11
1976;6;1;"TIBIDABO";108;"E";5;43.61;-4.02;23.81
2013;6;23;"TARRACO";193;"O";4;43.98;-2.68;23.33
2015;4;26;"VIC";148;"E";1;43.19;3.79;19.7
2004;5;26;"HOSPI";154;"SE";8;22.14;13.68;4.23
2016;1;21;"MASNOU";57;"SE";6;22.47;2.11;10.18
2011;9;18;"VIC";177;"S";3;-3.32;-9.83;3.25
1959;8;14;"STACOL";105;"E";5;23.95;-8.25;16.1
1965;5;5;"HOSPI";23;"SE";4;29.35;-8.34;18.84
2013;12;28;"BERGA";108;"SO";0;29.16;14.9;7.13
2013;4;11;"HOSPI";184;"NO";1;43.43;17.81;12.81
1966;2;26;"STACOL";23;"NE";1;25.57;-9.1;17.34
1988;2;14;"BCN";7;"SE";1;37.26;18.25;9.5
1979;7;20;"LLEIDA";177;"SO";9;27.0;2.67;12.16
2013;1;23;"BERGA";198;"S";7;-1.83;-5.49;1.83
2009;3;10;"TARRACO";144;"SO";10;11.52;-9.17;10.34
1976;6;13;"TIBIDABO";91;"O";9;22.28;6.28;8.0
2001;6;10;"TIBIDABO";185;"SE";8;19.26;-2.69;10.98
1996;8;18;"VIC";50;"SO";5;18.81;10.79;4.01
1950;1;22;"GIRONA";124;"N";7;42.14;12.86;14.64
