centro;anyy;mes;dia;id_cliente;tipo;c_postal;base_fra;pIva;total_fra;portes
BCN;2021;5;29;2142;4;'08050';686;21;830.06;60
BCN;2021;3;30;439;9;'08050';402;21;486.42;54
BCN;2021;5;8;1841;2;'08003';719;21;869.99;87
BCN;2021;2;16;2480;6;'08003';763;21;923.23;38
BCN;2021;2;3;163;10;'08001';2368;21;2865.2799999999997;24
BCN;2021;2;5;2134;6;'08001';1685;21;2038.85;79
BCN;2020;5;11;173;7;'08002';645;21;780.45;77
BCN;2021;3;17;1444;10;'08050';2067;21;2501.07;93
BCN;2020;8;7;621;2;'08001';355;21;429.55;62
BCN;2020;7;30;1731;9;'08050';2487;21;3009.27;80
BCN;2020;1;29;1381;5;'08001';383;21;463.43;90
BCN;2020;5;7;727;2;'08001';1563;21;1891.23;97
BCN;2020;12;17;1953;10;'08003';896;21;1084.16;72
BCN;2021;7;6;1303;1;'08050';1309;21;1583.8899999999999;24
BCN;2020;1;30;797;8;'08050';451;21;545.71;44
BCN;2020;9;13;18;5;'08050';1754;21;2122.34;66
BCN;2021;4;23;1830;4;'08050';1203;21;1455.63;4
BCN;2021;9;14;1050;3;'08003';303;21;366.63;11
BCN;2021;2;19;1986;3;'08050';1905;21;2305.05;59
BCN;2021;8;15;1100;5;'08001';470;21;568.7;50
BCN;2021;2;4;1204;5;'08003';1852;21;2240.92;50
BCN;2020;8;8;411;2;'08002';1326;21;1604.46;38
BCN;2021;8;4;213;4;'08050';67;21;81.07;27
BCN;2021;6;25;1312;5;'08050';2491;21;3014.11;78
BCN;2021;3;8;659;10;'08002';405;21;490.05;20
BCN;2021;10;26;74;10;'08002';1461;21;1767.81;15
BCN;2020;2;1;2407;2;'08003';1484;21;1795.6399999999999;38
BCN;2020;10;5;2209;4;'08050';1531;21;1852.51;39
BCN;2020;1;10;1295;4;'08001';851;21;1029.71;39
BCN;2020;8;1;1455;2;'08001';215;21;260.15;57
BCN;2021;1;3;1884;4;'08001';2396;21;2899.16;54
BCN;2021;4;11;1551;6;'08001';550;21;665.5;51
BCN;2021;4;3;204;6;'08003';584;21;706.64;55
BCN;2020;11;26;1468;2;'08002';2245;21;2716.45;83
BCN;2021;11;30;1322;10;'08002';353;21;427.13;79
BCN;2020;6;7;1993;9;'08003';1084;21;1311.6399999999999;32
BCN;2020;4;2;1382;1;'08050';1958;21;2369.18;64
BCN;2021;5;10;867;7;'08050';914;21;1105.94;67
BCN;2020;1;15;63;6;'08050';752;21;909.92;41
BCN;2021;11;21;1162;2;'08050';1226;21;1483.46;7
BCN;2021;11;23;903;6;'08050';1673;21;2024.33;31
BCN;2020;10;11;1017;6;'08050';2225;21;2692.25;4
BCN;2020;7;15;1814;5;'08002';1453;21;1758.13;9
BCN;2021;8;11;1754;1;'08003';2074;21;2509.54;4
BCN;2020;8;27;684;3;'08050';105;21;127.05;62
BCN;2020;8;21;275;2;'08050';1156;21;1398.76;48
BCN;2020;3;11;864;2;'08003';2434;21;2945.14;55
BCN;2021;3;13;2267;9;'08001';538;21;650.98;32
BCN;2021;1;29;364;10;'08002';1542;21;1865.82;100
BCN;2021;9;16;442;5;'08003';161;21;194.81;99
BCN;2021;11;2;2029;3;'08001';2198;21;2659.58;98
BCN;2020;7;5;734;7;'08002';1005;21;1216.05;15
BCN;2020;3;14;2271;8;'08003';139;21;168.19;28
BCN;2021;3;22;214;3;'08002';2298;21;2780.58;25
BCN;2021;5;20;2009;5;'08001';804;21;972.84;86
BCN;2020;3;14;2298;2;'08002';1413;21;1709.73;7
BCN;2021;8;29;284;3;'08050';1012;21;1224.52;68
BCN;2021;2;7;106;4;'08003';1686;21;2040.06;3
BCN;2020;11;5;2378;5;'08003';1252;21;1514.92;28
BCN;2021;2;6;807;3;'08050';1670;21;2020.7;20
BCN;2020;9;10;29;3;'08003';1705;21;2063.05;26
BCN;2020;2;6;208;8;'08002';710;21;859.1;99
BCN;2021;2;7;2010;9;'08050';919;21;1111.99;41
BCN;2020;9;6;148;1;'08050';1807;21;2186.4700000000003;43
BCN;2020;5;22;333;9;'08002';2209;21;2672.89;87
BCN;2020;9;7;686;2;'08050';2218;21;2683.7799999999997;85
BCN;2020;2;3;2187;3;'08003';2146;21;2596.66;50
BCN;2020;4;10;127;5;'08002';579;21;700.59;13
BCN;2020;4;14;2404;7;'08003';1062;21;1285.02;19
BCN;2020;8;4;1654;7;'08001';1466;21;1773.8600000000001;31
BCN;2021;7;3;590;1;'08050';1869;21;2261.49;98
BCN;2020;8;3;514;7;'08003';1980;21;2395.8;76
BCN;2021;9;9;1562;3;'08001';500;21;605.0;43
BCN;2021;1;5;2461;6;'08050';1813;21;2193.73;6
BCN;2021;4;13;235;3;'08002';73;21;88.33;58
BCN;2020;12;26;806;5;'08003';426;21;515.46;74
BCN;2020;9;2;731;1;'08001';818;21;989.78;8
BCN;2021;9;12;589;9;'08001';802;21;970.42;39
BCN;2021;6;13;235;2;'08001';1423;21;1721.83;5
BCN;2021;8;13;1976;10;'08003';598;21;723.58;30
BCN;2020;7;1;2356;4;'08003';414;21;500.94;41
BCN;2021;12;14;1056;2;'08003';2065;21;2498.65;67
BCN;2021;9;29;301;10;'08050';2278;21;2756.38;11
BCN;2020;2;2;1834;7;'08002';549;21;664.29;67
BCN;2020;7;29;2319;7;'08002';1456;21;1761.76;10
BCN;2021;4;17;2357;7;'08003';244;21;295.24;60
BCN;2020;8;18;169;9;'08050';1192;21;1442.32;4
BCN;2020;10;16;1177;10;'08050';789;21;954.69;66
BCN;2021;3;1;1704;1;'08001';1736;21;2100.56;71
BCN;2021;6;16;497;3;'08003';1258;21;1522.18;28
BCN;2020;8;2;523;6;'08003';973;21;1177.33;9
BCN;2020;8;16;2229;4;'08050';134;21;162.14;14
BCN;2021;12;17;2009;9;'08050';1371;21;1658.91;60
BCN;2020;7;30;285;5;'08001';1938;21;2344.98;56
BCN;2020;12;20;2169;5;'08002';239;21;289.19;25
BCN;2020;1;11;1697;1;'08002';1124;21;1360.04;8
BCN;2021;7;16;1174;9;'08003';2346;21;2838.66;24
BCN;2021;6;30;993;4;'08002';2068;21;2502.2799999999997;34
BCN;2020;5;24;651;7;'08050';335;21;405.35;56
BCN;2020;2;6;2037;2;'08001';1350;21;1633.5;96
BCN;2020;8;22;1562;10;'08050';1518;21;1836.78;44
BCN;2020;9;17;1586;8;'08003';2157;21;2609.9700000000003;52
BCN;2020;8;20;1553;3;'08002';1735;21;2099.35;37
BCN;2020;1;22;411;8;'08003';524;21;634.04;58
BCN;2020;12;7;700;5;'08003';1924;21;2328.04;31
BCN;2020;12;2;1386;9;'08001';1451;21;1755.71;80
BCN;2021;1;18;484;3;'08002';195;21;235.95;36
BCN;2021;2;14;2407;3;'08003';2098;21;2538.58;69
BCN;2020;11;27;169;3;'08001';526;21;636.46;46
BCN;2020;9;27;1660;1;'08001';1744;21;2110.24;36
BCN;2020;5;12;649;9;'08001';1953;21;2363.13;94
BCN;2020;9;24;1519;3;'08002';318;21;384.78;23
BCN;2020;8;6;1467;4;'08050';1144;21;1384.24;77
BCN;2021;10;6;2349;3;'08003';293;21;354.53;52
BCN;2021;10;6;527;4;'08002';551;21;666.71;64
BCN;2021;2;24;512;10;'08003';348;21;421.08;78
BCN;2020;11;24;272;5;'08002';2087;21;2525.27;5
BCN;2020;4;24;2133;3;'08050';1007;21;1218.47;65
BCN;2021;12;4;2476;3;'08001';1259;21;1523.3899999999999;98
BCN;2021;6;5;1337;5;'08002';1635;21;1978.35;93
BCN;2020;12;12;1544;10;'08003';920;21;1113.2;41
BCN;2020;1;22;2180;6;'08050';2259;21;2733.39;70
BCN;2021;7;15;276;3;'08003';1310;21;1585.1;10
BCN;2021;6;16;1527;1;'08002';1776;21;2148.96;7
BCN;2021;12;24;579;9;'08002';154;21;186.34;45
BCN;2020;8;26;719;5;'08001';416;21;503.36;90
BCN;2020;2;3;738;1;'08003';1380;21;1669.8;82
BCN;2020;11;3;1751;4;'08002';1176;21;1422.96;30
BCN;2021;7;13;1956;8;'08050';2166;21;2620.86;80
BCN;2021;3;15;2332;9;'08001';2164;21;2618.44;89
BCN;2021;2;3;561;2;'08050';293;21;354.53;74
BCN;2020;4;15;1905;10;'08001';275;21;332.75;41
BCN;2020;9;7;879;5;'08003';2359;21;2854.39;20
BCN;2020;7;8;299;6;'08002';902;21;1091.42;78
BCN;2021;5;4;1872;4;'08001';753;21;911.13;79
BCN;2021;9;18;551;1;'08002';1632;21;1974.72;98
BCN;2020;5;10;696;6;'08002';1556;21;1882.76;86
BCN;2020;11;21;2024;8;'08001';797;21;964.37;53
BCN;2021;10;9;371;4;'08002';551;21;666.71;25
BCN;2021;7;4;1076;1;'08050';1286;21;1556.06;20
BCN;2021;10;29;1542;8;'08001';92;21;111.32;0
BCN;2020;12;2;847;9;'08050';497;21;601.37;58
BCN;2020;9;29;1630;4;'08001';1143;21;1383.03;46
BCN;2021;2;12;1095;3;'08002';437;21;528.77;75
BCN;2020;9;18;1993;9;'08050';2145;21;2595.45;21
BCN;2020;4;13;1044;4;'08002';1751;21;2118.71;36
BCN;2021;5;22;1492;9;'08002';1022;21;1236.62;90
BCN;2020;4;18;213;2;'08002';2158;21;2611.18;56
BCN;2020;5;28;1124;8;'08001';847;21;1024.87;43
BCN;2021;8;18;954;10;'08001';2483;21;3004.43;47
BCN;2021;10;19;833;3;'08003';452;21;546.92;45
BCN;2020;10;14;2280;2;'08050';1448;21;1752.08;24
BCN;2021;7;4;1647;5;'08002';2451;21;2965.71;83
BCN;2021;12;7;708;1;'08002';2232;21;2700.7200000000003;79
BCN;2020;2;13;2308;4;'08050';52;21;62.92;97
BCN;2020;2;3;1228;9;'08001';759;21;918.39;72
BCN;2020;9;15;2003;2;'08001';2026;21;2451.46;21
BCN;2021;7;11;889;2;'08001';71;21;85.91;21
BCN;2020;10;30;1139;7;'08003';2376;21;2874.96;36
BCN;2021;12;11;101;9;'08050';622;21;752.62;51
BCN;2021;1;1;176;4;'08003';340;21;411.4;95
BCN;2021;8;17;2144;4;'08050';623;21;753.83;54
BCN;2020;11;19;2128;7;'08002';1392;21;1684.32;13
BCN;2020;12;22;1703;6;'08003';857;21;1036.97;12
BCN;2021;6;11;486;4;'08003';638;21;771.98;16
BCN;2020;8;19;83;8;'08001';1886;21;2282.06;82
BCN;2020;6;17;2005;3;'08003';1084;21;1311.6399999999999;12
BCN;2021;11;27;1925;8;'08003';2195;21;2655.95;3
BCN;2021;4;16;1090;4;'08002';1605;21;1942.05;72
BCN;2021;5;3;2120;7;'08003';1376;21;1664.96;56
BCN;2020;5;25;2349;1;'08003';932;21;1127.72;73
BCN;2020;4;22;1821;10;'08050';2063;21;2496.23;92
BCN;2021;10;6;1527;5;'08050';902;21;1091.42;14
BCN;2021;10;20;2097;9;'08002';1444;21;1747.24;81
BCN;2021;1;9;2244;1;'08001';2441;21;2953.61;57
BCN;2020;9;4;1084;6;'08050';1086;21;1314.06;17
BCN;2020;7;25;674;10;'08002';1484;21;1795.6399999999999;33
BCN;2021;8;3;1350;1;'08003';1248;21;1510.08;95
BCN;2021;1;30;1490;1;'08050';2013;21;2435.73;31
BCN;2020;7;24;570;5;'08003';1281;21;1550.01;29
BCN;2020;12;29;711;5;'08050';611;21;739.31;65
BCN;2021;9;11;2058;6;'08050';328;21;396.88;52
BCN;2021;9;5;85;8;'08003';1873;21;2266.33;59
BCN;2020;1;14;1200;10;'08050';2284;21;2763.64;5
BCN;2020;1;16;1183;1;'08003';935;21;1131.35;7
BCN;2021;6;21;1666;1;'08050';150;21;181.5;63
BCN;2020;1;18;1738;4;'08050';1073;21;1298.33;23
BCN;2021;5;14;475;2;'08002';1357;21;1641.97;1
BCN;2020;9;25;1892;10;'08003';2104;21;2545.84;27
BCN;2020;7;12;916;4;'08050';1834;21;2219.14;24
BCN;2021;8;16;2323;2;'08003';1226;21;1483.46;25
BCN;2020;9;20;12;3;'08002';520;21;629.2;13
BCN;2021;4;28;1976;1;'08002';2005;21;2426.05;71
BCN;2021;1;16;214;10;'08001';2085;21;2522.85;42
BCN;2020;4;14;2260;5;'08050';1614;21;1952.94;78
BCN;2020;7;30;668;7;'08050';1211;21;1465.31;81
BCN;2020;12;9;2283;9;'08002';1761;21;2130.81;5
BCN;2021;7;5;209;3;'08002';905;21;1095.05;46
BCN;2020;1;21;1086;7;'08002';1905;21;2305.05;71
BCN;2021;10;13;2193;1;'08001';1154;21;1396.34;76
BCN;2021;4;14;1360;7;'08001';642;21;776.8199999999999;50
BCN;2020;3;25;2220;1;'08050';464;21;561.44;57
BCN;2020;8;15;1136;10;'08001';850;21;1028.5;57
BCN;2020;2;8;1515;3;'08050';1252;21;1514.92;16
BCN;2020;12;27;1426;5;'08002';254;21;307.34000000000003;30
BCN;2021;12;17;171;2;'08003';1337;21;1617.77;61
BCN;2021;3;22;1044;1;'08002';1354;21;1638.34;40
BCN;2021;3;4;74;6;'08002';1494;21;1807.74;9
BCN;2021;2;15;1903;2;'08001';2230;21;2698.3;80
BCN;2021;5;30;213;1;'08050';970;21;1173.7;55
BCN;2021;10;25;818;10;'08050';1547;21;1871.87;2
BCN;2020;7;17;1080;1;'08003';1423;21;1721.83;63
BCN;2020;2;26;2110;1;'08001';1912;21;2313.52;80
BCN;2021;6;23;2145;3;'08001';1631;21;1973.51;21
BCN;2021;12;9;428;2;'08001';2298;21;2780.58;5
BCN;2021;12;2;766;10;'08002';1363;21;1649.23;52
BCN;2020;10;24;2158;3;'08050';1790;21;2165.9;43
BCN;2020;4;27;299;2;'08001';843;21;1020.03;63
BCN;2021;3;8;795;8;'08003';2137;21;2585.77;96
BCN;2020;2;8;751;2;'08050';1793;21;2169.5299999999997;46
BCN;2020;12;18;1332;8;'08001';1250;21;1512.5;3
BCN;2020;3;3;18;6;'08001';2082;21;2519.2200000000003;71
BCN;2020;6;28;911;3;'08002';75;21;90.75;34
BCN;2020;7;16;1256;8;'08003';2063;21;2496.23;27
BCN;2020;5;10;122;10;'08003';257;21;310.97;53
BCN;2020;9;21;325;8;'08003';94;21;113.74;83
BCN;2021;8;6;2304;6;'08002';251;21;303.71;6
BCN;2020;11;8;232;9;'08001';934;21;1130.1399999999999;65
BCN;2020;7;13;1031;3;'08002';468;21;566.28;5
BCN;2021;10;24;2401;6;'08050';641;21;775.61;88
BCN;2021;8;28;328;2;'08001';123;21;148.82999999999998;6
BCN;2020;11;3;2214;5;'08002';965;21;1167.65;59
BCN;2020;6;30;1942;2;'08002';547;21;661.87;52
BCN;2020;8;22;1131;3;'08050';1352;21;1635.92;75
BCN;2021;8;27;293;6;'08050';2124;21;2570.04;52
BCN;2021;4;22;1278;5;'08002';1890;21;2286.9;57
BCN;2021;8;25;1397;10;'08002';2099;21;2539.79;91
BCN;2020;10;1;1221;8;'08002';2101;21;2542.21;97
BCN;2020;10;25;2215;9;'08001';1316;21;1592.3600000000001;82
BCN;2020;3;16;332;4;'08050';281;21;340.01;31
BCN;2021;9;15;1754;3;'08002';2310;21;2795.1;88
BCN;2021;1;29;1031;6;'08001';2473;21;2992.33;18
BCN;2021;11;27;1579;7;'08001';869;21;1051.49;97
BCN;2020;7;15;1876;2;'08001';2037;21;2464.77;60
BCN;2020;9;15;2316;9;'08002';1634;21;1977.1399999999999;22
BCN;2020;5;7;946;5;'08001';161;21;194.81;61
BCN;2020;11;15;1347;2;'08001';906;21;1096.26;6
BCN;2021;1;20;1805;5;'08050';279;21;337.59000000000003;90
BCN;2020;6;30;841;3;'08050';535;21;647.35;21
BCN;2021;8;3;1386;2;'08003';1849;21;2237.29;14
BCN;2020;10;10;2195;4;'08002';2199;21;2660.79;61
BCN;2020;2;13;2390;2;'08001';471;21;569.91;19
BCN;2021;10;20;2410;4;'08001';1561;21;1888.81;71
BCN;2020;4;2;1439;7;'08002';553;21;669.13;45
BCN;2021;10;30;473;7;'08003';1781;21;2155.01;86
BCN;2021;5;23;699;10;'08002';562;21;680.02;7
BCN;2021;4;20;2287;5;'08050';1841;21;2227.61;44
BCN;2021;1;20;1196;3;'08002';1932;21;2337.7200000000003;3
BCN;2020;7;26;1778;3;'08002';533;21;644.9300000000001;31
BCN;2020;12;7;363;5;'08003';833;21;1007.9300000000001;0
BCN;2020;6;14;1960;7;'08001';2334;21;2824.14;74
BCN;2020;12;18;130;3;'08050';2282;21;2761.2200000000003;62
BCN;2020;7;26;2442;8;'08001';1320;21;1597.2;65
BCN;2020;4;28;2451;10;'08002';1871;21;2263.91;35
BCN;2020;4;23;381;3;'08002';2097;21;2537.37;21
BCN;2021;4;2;472;9;'08003';2159;21;2612.39;100
BCN;2021;5;8;579;1;'08001';1206;21;1459.26;76
BCN;2021;7;27;1054;3;'08050';1078;21;1304.38;23
BCN;2021;2;27;2021;7;'08001';168;21;203.28;18
BCN;2020;11;27;1611;3;'08003';983;21;1189.43;28
BCN;2021;4;16;1880;2;'08003';1348;21;1631.08;6
BCN;2020;2;2;927;8;'08002';1898;21;2296.58;72
BCN;2020;6;20;2264;2;'08050';1921;21;2324.41;27
BCN;2020;7;23;1285;5;'08001';926;21;1120.46;65
BCN;2021;2;10;592;3;'08003';2415;21;2922.15;16
BCN;2021;7;15;635;10;'08002';1750;21;2117.5;46
BCN;2020;2;27;1552;2;'08001';1782;21;2156.2200000000003;14
BCN;2021;12;9;781;6;'08003';853;21;1032.13;86
BCN;2020;2;2;1584;5;'08002';864;21;1045.44;82
BCN;2021;10;4;498;3;'08050';1044;21;1263.24;97
BCN;2020;8;9;93;6;'08003';2350;21;2843.5;14
BCN;2021;9;14;392;7;'08050';2421;21;2929.41;66
BCN;2020;9;25;1934;9;'08050';1573;21;1903.33;85
BCN;2020;3;20;14;6;'08003';2162;21;2616.02;9
BCN;2020;8;23;124;3;'08050';1714;21;2073.94;35
BCN;2021;11;27;171;3;'08002';902;21;1091.42;68
BCN;2020;3;11;245;7;'08001';1472;21;1781.12;19
BCN;2020;2;21;980;5;'08002';1702;21;2059.42;51
BCN;2021;1;13;2195;3;'08001';2315;21;2801.15;91
BCN;2021;6;4;1325;8;'08003';806;21;975.26;55
BCN;2020;2;28;855;3;'08003';1883;21;2278.43;63
BCN;2021;4;18;1424;10;'08001';1151;21;1392.71;29
BCN;2021;10;9;946;10;'08003';367;21;444.07;4
BCN;2021;11;14;169;3;'08003';2052;21;2482.92;84
BCN;2020;2;28;1264;9;'08003';386;21;467.06;37
BCN;2020;11;8;1619;8;'08001';1671;21;2021.91;55
BCN;2020;5;21;179;1;'08002';2087;21;2525.27;19
BCN;2020;11;9;7;4;'08050';1443;21;1746.03;41
BCN;2021;7;2;905;4;'08002';1670;21;2020.7;54
BCN;2021;5;3;1074;7;'08003';825;21;998.25;87
BCN;2021;5;23;731;8;'08003';306;21;370.26;32
BCN;2020;8;24;1347;3;'08001';736;21;890.56;29
BCN;2021;11;6;2324;9;'08002';740;21;895.4;90
BCN;2021;4;28;449;9;'08001';747;21;903.87;80
BCN;2020;12;21;2283;6;'08001';307;21;371.47;27
BCN;2020;1;8;1883;8;'08050';968;21;1171.28;96
BCN;2020;4;21;1736;3;'08003';1657;21;2004.97;18
BCN;2020;8;10;996;1;'08003';1710;21;2069.1;75
BCN;2021;5;22;383;1;'08050';1696;21;2052.16;16
BCN;2021;8;27;1945;5;'08003';1944;21;2352.24;75
BCN;2020;8;15;491;5;'08001';1051;21;1271.71;52
BCN;2021;4;28;481;2;'08001';2016;21;2439.36;59
BCN;2020;8;21;1531;1;'08002';1633;21;1975.93;62
BCN;2020;8;12;2009;10;'08003';803;21;971.63;17
BCN;2020;1;26;511;10;'08001';923;21;1116.83;31
BCN;2021;9;17;372;5;'08050';1735;21;2099.35;33
BCN;2020;12;11;609;10;'08001';928;21;1122.88;46
BCN;2020;2;11;1476;3;'08003';1622;21;1962.62;68
BCN;2021;5;18;1224;3;'08050';762;21;922.02;11
BCN;2020;2;19;2213;8;'08001';2171;21;2626.91;100
BCN;2021;5;1;1553;10;'08002';905;21;1095.05;4
BCN;2020;2;20;1247;6;'08001';1354;21;1638.34;58
BCN;2020;4;18;982;4;'08001';935;21;1131.35;64
BCN;2021;3;11;404;8;'08001';1646;21;1991.66;38
BCN;2021;8;28;1549;5;'08002';436;21;527.56;96
BCN;2021;3;1;1399;8;'08050';1545;21;1869.45;12
BCN;2021;5;25;2354;6;'08002';938;21;1134.98;5
BCN;2020;2;27;319;8;'08050';1467;21;1775.07;89
BCN;2021;9;5;1345;8;'08003';990;21;1197.9;7
BCN;2020;5;25;255;8;'08050';1620;21;1960.2;50
BCN;2020;12;23;122;10;'08001';54;21;65.34;26
BCN;2020;6;20;358;7;'08002';181;21;219.01;15
BCN;2021;9;17;639;6;'08001';509;21;615.89;77
BCN;2021;1;12;1395;6;'08003';1777;21;2150.17;13
BCN;2021;9;5;583;4;'08002';1452;21;1756.92;26
BCN;2021;10;9;2279;8;'08003';2071;21;2505.91;46
BCN;2020;5;14;1505;9;'08003';963;21;1165.23;58
BCN;2020;6;4;1424;9;'08001';671;21;811.91;8
BCN;2021;6;28;327;7;'08002';583;21;705.4300000000001;21
BCN;2020;11;17;1541;4;'08050';1909;21;2309.89;35
BCN;2020;8;22;478;9;'08002';2088;21;2526.48;49
BCN;2020;7;19;697;9;'08002';900;21;1089.0;13
BCN;2021;3;8;1666;4;'08003';780;21;943.8;20
BCN;2020;3;25;1442;5;'08003';2138;21;2586.98;12
BCN;2021;4;4;2430;4;'08050';397;21;480.37;41
BCN;2021;2;27;1541;7;'08001';1122;21;1357.62;12
BCN;2020;7;12;1715;7;'08002';2029;21;2455.09;35
BCN;2021;9;13;275;10;'08002';252;21;304.92;76
BCN;2021;8;28;1355;7;'08050';1259;21;1523.3899999999999;96
BCN;2021;4;5;1526;7;'08001';254;21;307.34000000000003;55
BCN;2021;8;10;1631;6;'08002';201;21;243.21;3
BCN;2020;5;10;2350;6;'08001';1118;21;1352.78;84
BCN;2020;6;29;1436;1;'08002';2239;21;2709.19;89
BCN;2021;2;2;1001;2;'08002';789;21;954.69;46
BCN;2021;6;15;2468;9;'08002';206;21;249.26;74
BCN;2021;12;4;221;6;'08050';1509;21;1825.8899999999999;6
BCN;2020;2;28;798;8;'08001';649;21;785.29;30
BCN;2020;9;24;172;6;'08003';2213;21;2677.73;81
BCN;2020;5;20;1201;7;'08001';542;21;655.8199999999999;52
BCN;2020;11;5;2234;8;'08002';755;21;913.55;4
BCN;2021;2;22;2485;10;'08050';2220;21;2686.2;38
